created_at,full_text
2025-09-02 00:45:12+00:00,"Kebanyakan tuntutan malah ga ada yg jadi, tapi bolehlah semangatnya, GANBATTE!"
2025-09-01 12:33:07+00:00,"Ni dikasih program kerja bagus nih, dibanding MBG yang nampannya pakai zat berbahaya"
2025-09-02 16:25:42+00:00,Deal
2025-09-02 04:58:51+00:00,Gak bakal digubris aki2 pikun
2025-09-02 15:12:31+00:00,19 juta lapangan padle
2025-09-01 05:20:31+00:00,Up
2025-09-01 12:56:40+00:00,Kawal
2025-09-01 14:09:32+00:00,"Ah, kok muncul terus menerapkan KPI buat anggota DPR ini ya? Trias Politika jangan dijalankan pakai cara ngelola perusahaan woi."
2025-09-01 17:33:27+00:00,@prabowo  MELEK GA!!!
2025-09-01 10:00:18+00:00,Smg diberikan kemudahan eksekusi sesuai dg harapan rakyat
2025-09-01 07:48:46+00:00,Terimakasih bang Adrian. Terus berjuang dan bersuara.
2025-09-01 10:28:09+00:00,Udah dijabarkan dengan rinci dan jelas semoga dibaca yaa
2025-09-01 15:31:35+00:00,Resulffle kabinet apakah ada? Menteri yg tdk bisa kerja dan hanya terima orderan gmn?
2025-09-02 02:45:19+00:00,Itu sulit banget kyknya untuk dikerjain sama dpr. Apalagi masalah pengesahan uu perampasan asset. Like it is impossible bruh.
2025-09-01 16:10:14+00:00,adili mulyono dan kroninya
2025-09-01 06:56:50+00:00,Ak belum menemukan yg menurunkan gaji
2025-09-01 04:53:09+00:00,"Tambahin juga: REFORMASI KEPOLISIAN!! mulai dari rekrutmen yg jujur tanpa pungli, sampai, pelaporan kepolisian yg mudah & bebas pungli, perbaikan pelayanan Polisi, dll... Kepolisian kita harus bebas dr korupsi & kekerasan thdp sipil"
2025-09-01 05:55:27+00:00,18. tembak mati bahlil
2025-09-02 09:28:36+00:00,RUU Perampasan Aset Koruptor berlaku surutlah.
2025-09-09 02:50:39+00:00,"Stop Provokasi, Pilih Demokrasi Damai"
2025-09-02 22:38:07+00:00,tuntutan bodoh tidak menyentuh substansi inti dari kebrangkutan adalah penegakan hukum selama ini yang mendukung pemerintah aman UUP kalolah di sahkan tapi jika instrumen masih kacung penguasa ntar malah nyasar orang yang tidak bersalah
2025-09-01 08:54:32+00:00,"Kenapa cuma DPR ya yg di kejar, padahal sumber pemborosan APBN yang paling besar itu krn birokrasi kementerian/lembaga/badan yg bertambah 2x lipat dr sebelumnya. Berati tambah juga jabatan2 di bawahnya, wamen rangkap jabtn, tambah Stafsus2 ratusn org dr timsesnya gaji nya gede2"
2025-09-02 23:23:52+00:00,Ngerinya Negeriku
2025-09-03 04:38:53+00:00,"Ini saya setuju .. banyak PR pak harus segera dilaksanakan , saya harap bapak jangan kunjungan dulu keluar negeri , bapak harus memantau bawahan untuk menyelesaikan tuntutan rakyat."
2025-09-02 05:37:45+00:00,17+8 TUNTUNAN RAKYAT   @prabowo   @gibran_tweet   @DPR_RI   @DivHumas_Polri  BUKTIKAN ANDA SEKALIAN BERSAMA RAKYAT
2025-09-02 13:11:26+00:00,"Tuntutan selanjutnya, batalkan kenaikan pangkat polisi, rakyat juga terluka, malah lebih parah, yg harus kamu lakukan itu copot jendral nya"
2025-09-01 14:37:58+00:00,"Apa makna dari warna pink dan hijau, 17+8 tuntutan rakyat  @grok  ?"
2025-09-01 23:15:44+00:00,Pajak mana kok gak ada
2025-09-01 11:07:47+00:00,"Sebenarnya apapun kebijakannya yg penting tidak memberatkan rakyat. Karena kalau masalah gaji kita tidak tahu mereka di transfer berapa.Seharusnya fokusnya pajak jangan di naikan kalau bisa di turunkan, SIM berlaku seumur hidup seperti KTP, dan tidak ada pajak 5 tahunan kendaraan"
2025-09-05 09:23:22+00:00,"Sudah mau bau tanah kuburan, masih gak punya nurani ! ! !"
2025-09-01 10:55:23+00:00,"PLEASE GIVE LIKE GUYS ,, THANKSS #MotoGP #F1 #GTWorldAsia #ManchesterUnited #RealBetis #PremierLeague #LaLiga #DPRRI #Trump #transferlernerededursunözbek   https:// x.com/ProfJrii/statu s/1960940618324357373 …"
2025-09-01 17:20:19+00:00,"Tarik TNI  dari pengamanan sipil?  Dri video2 yg beredar di medsos, pendemo tampaknya lebih respect dgn tni Saran  : revisi UU TNI . TNI yf diduga kejahatan tidak saat tugas militer. WAJIB peradilan Umum (sipil) yg  terbuka utk umum,bukan pengadilan militer dan tdk hanya pom tni"
2025-09-01 16:43:55+00:00,"Izin bertanya, jangan diserang  kenapa tidak ada tuntutan agar dilakukan  penegakan hukum kepada pelaku kejahatan ketika demo meskipun pelaku itu dri unsur sipil, masy juga byk yg resah terkait pembakaran dan pengrusakan, mis makasar pembakaran menyebabkan 4 org meninggal dunia"
2025-09-02 07:34:05+00:00,turunkan pajak
2025-09-02 22:55:02+00:00,Yg ini lebih maknyus
2025-09-02 01:39:07+00:00,Reformasi pendapatan DPR harus di-PEG/ di-batasi maksimum sekian kali upah UMR Bohong namanya wakil rakyat kl ternyata penghasilan nya ratusan kali standar UMR..
2025-09-01 08:04:36+00:00,"Kurang 1, tinjau ulang kebijakan dan mekanisme MBG, libatkan BRIN untuk kajian. Efisiensi kesedot ke sana."
2025-09-01 05:54:37+00:00,elu emg siapa bro nuntut ini itu sok paham persoalan ngikut2 doang
2025-09-01 05:48:24+00:00,"Buku merah Tito Karnavian, Jokowi km50  Gibran Anak haram konstitusi !! #RUUHUKUMMATIKORUPTOR"
2025-09-01 05:48:21+00:00,Orang-orang yang masih terlibat dengan keluarga Jokowi dan yang mendukung dinasti Jokowi dan anaknya harus di hukum mati !! Bangkitnya kesadaran dari sistem yang zolim #indonesia #RUUHUKUMMATIKORUPTOR
2025-09-14 01:29:33+00:00,"Anggota Kolektif 17+8 Indonesia Berbenah, Andhyta F. Utami, menjelaskan latar belakang penyusunan tuntutan 17+8.  #TempoHarian #TempoPlus"
2025-09-14 01:29:34+00:00,Selengkapnya baca di sini
2025-09-14 08:44:37+00:00,Nepal ga pake visual aesthetic gini tp berhasil
2025-09-14 10:03:26+00:00,"Minimal kalau sehat mental dan berani hadapi diskursus & dinamika ga tutup akun.Lah ini penggagas macam afutami beda pendapat aja, dia kabur,gimana mau mendengar suara-suara marjinal,akar rumput (grassroot) sukanya yg elitis-elitis sesuai kepentingannya. Diminta bukti,kosong."
2025-09-15 17:02:58+00:00,"Gue liat yg komen disini banyak intelijen anjirr nyamar jadi netijen julid. Ahh strategi lama kalian merusak gerakan emang masih paten jurus kalian, selamat ya agen BIN. BAJINGAN!"
2025-09-14 23:19:17+00:00,Sdh nga jaman influencers. Let people directly talk and take down.
2025-09-15 10:14:02+00:00,"akuilah kalian ini yang melemahkan dan menunggangi gerakan. orang lain merespon dengan kemarahan sementara kalian imajinasinya mentok dengan aturan persuratan? ohh dude, come on"
2025-09-15 15:12:37+00:00,Giliran ada yg gerak malah dimusuhin wk. Gak ketolong lo semua
2025-09-15 09:41:46+00:00,Buat Transparansi Arah Kebijakan Dan Gerakan Seperti Ini...Agar Bisa Diakses Oleh Semua Orang...File Lengkap Ada Di Link Di Bio...
2025-09-15 06:53:31+00:00,Jadi ini rasanya diboncengi NICA
2025-09-14 20:36:12+00:00,semua influencer IQ 17+8 cuma bawa celaka gak usah didengerin.
2025-09-14 04:30:37+00:00,Reformasi yang semi reset aja gagal total.. ginian emang ngefek? Kek nya cuma geli2 doang.. anehnya sudah muncul pahlawan2 influencer tanpa perubahan apa-apa.. gini2 aja..
2025-09-15 12:30:28+00:00,Org indonesia emg ga pantes diselamatkan.   Selalu keras ke org baik yg mau susah payah bersuara. Terlalu sombong untuk berdiri dibelakang seakan mereka paling pantas kena spotlight.
2025-09-15 10:30:35+00:00,Gak akan ribet kl pas awal ketemu dpr mereka punya nama organisasi. Misal : - Pejuang pinky - Aliansi influencer kece - Abang None fafifu Dll  Sekarang udh terlanjur dianggap sekelompok narsis yg sok2an jd perwakilan  seluruh perjuangan tanpa dipilih. Diorbit tempo pula. Wkwkwkwk
2025-09-15 08:48:36+00:00,"nepal udah berbenah, disini masih mimpi basah"
2025-09-15 13:27:06+00:00,"I appreciate Afu, Ferry, Andovi, dkk but I don’t think this would be the outcome, you can use another cover tho, my 2nd time got upset by Tempo"
2025-09-15 22:58:56+00:00,Bukti kalo kita terlalu fokus ke siapa bukan ke apa ckck
2025-09-15 12:41:33+00:00,"Oalah lulusan harvard, pantes dipuja puja ma warga yang terobsesi ma latar belakang pendidikan bukan kepribadian seseorang  Skiplah muka dia ga enak diliat"
2025-09-15 18:50:38+00:00,"kalo ngeliat drama² kayak gini, kayaknya wajar aja deh Indonesia ga usah merdeka sekalian.  dari jaman proklamasi begini terus."
2025-09-15 17:31:28+00:00,"Perasaan demo akhir agustus diinisiasi salah satu serikat buruh deh, ada gak dari influncer yg dapat spotlight ini memberikan kredit khusus untuk serikat buruh?"
2025-09-14 01:39:11+00:00,"Klo ga ada 3 yg plg penting  gakkan bs 17+8 itu jln. Kesannya mlh menurunkan prio dr 3 yg terpenting itu. Dan yg namanya tuntutan hrs singkat, jelas terukur dan terpenting. Klo byk dan panjang namanya wish list."
2025-09-15 09:18:04+00:00,Kalo banyak yg ngerasa ga terwakili  diupdate lagi aja tuntutannya jadi 1945
2025-09-15 08:23:12+00:00,Fungsi dia cuma jadi AI overview tiba-tiba jadi wajah pergerakan
2025-09-15 08:23:12+00:00,Siapa dia? Sejak kapan mewakili aspirasi kami?
2025-09-15 13:28:33+00:00,Please remind me why people dislike her??
2025-09-15 00:02:59+00:00,"17+8 gagal krn emang suruhan ODGJ  skrg bebalik haluan ngedukung pemerintah sambil nusuk dr belakang pengkhianat"" bangsa kalian"" itu sgt menjijikan"
2025-09-15 22:28:14+00:00,"Durasi pemenuhan tuntutan adalah jebakan setan. Bagi yang berkuasa, makin lama durasi akan semakin kuat mempertahankan. Bagi yang menuntut, akan semakin lelah dan kehabisan energi serta banyak penumpang gelap membelokkan."
2025-09-15 12:20:59+00:00,"halah tempo beraninya cm mengkritik, giliran dikritik, adminnya ngumpet, jurnalis macam apa kalian ini"
2025-09-15 18:30:50+00:00,"Yok orang² baik & pintar, buatlah rencana & aksi yg sempurna buat ngelawan kebatilan. Ga usah utamakan support satu sama lain dulu, biasakan no.1 adalah berdebat dg argumen² yg cerdas itu ketika ada yg mencoba bergerak, karena berbuat baik itu harus sempurna ngga ada kekurangan."
2025-09-15 22:59:01+00:00,Gerakan jangka panjang tetapi menghilangkan tuntutan adili biang masalah di negeri ini ?
2025-09-15 22:27:38+00:00,"Jangka panjang tai kucing, oportunis.., duri dalam daging, spotlight hunter, payah aktivis elitis.., kalo mau hidup dijalan perjuangan, lu minum dulu tuh keringat orang miskin. Dari semua rangkaian aksi kemarin, cuma (Alm) Affan yg murni jadi penggerak, walaupun nyawa taruhannya."
2025-09-15 11:14:47+00:00,Tempo ga mau buka ruang diskusi di X sini kenapa ngangkat blionya itu? Cc:  @BocorAlusPol
2025-09-15 13:24:48+00:00,kak afu i'm admiring you tapi ini salah langkah hiks
2025-09-15 12:01:37+00:00,ini tempo jg ngapain ngasih panggung sih
2025-09-16 11:08:40+00:00,I dont see anything wrong with this article. Coba kalian baca dlu isinya sebelum ngehate
2025-09-15 13:21:20+00:00,"Lahh, sitiba tiba jadi kolektif tuh. Wkwkwkw kelas menegah ngehek dan influencer kontol"
2025-09-16 15:20:03+00:00,"Ini lah kenapa dr kmrn gw kritisi. Tiba2 mereka muncul seperti pahlawan, jadi cover suatu majalah, berasa dia dan kawan2nya yang paling speak up dibanding teman2 yang lain.   Harusnya dia nolak dijadiin cover, kontribusinya masih kecil, tuntutan blm berhasil uda dijadikan cover."
2025-09-15 13:27:27+00:00,the next tsamara
2025-09-15 12:45:54+00:00,lah kocak anying penggagas macam apa yg beda pendapat doang dia kabur awkwk terus gimana mau denger suara2 marjinal & grassroot(?)
2025-09-15 08:57:39+00:00,Ngomong sama botol
2025-09-15 17:29:53+00:00,"Sebenernya w msh lom paham dh, kenapa banyk yg g suka. Sebenernya mau kyk gimna (selain 17+8tuntutan) n bagaimana. Dan apa pd berharap & berekspetasi tinggi ke influencer ini bisa merombak sistem pemerintahan?"
2025-09-15 09:23:32+00:00,"Jangka panjang, tau2 pada foto2 sama Bunted & Gibran"
2025-09-15 23:45:25+00:00,Rezim suka melihat keributan ini
2025-09-14 01:33:05+00:00,Kita harus menunjukkan bahwa rakyat masih tak bisa di bodohi
2025-09-15 19:04:37+00:00,no lokataru?
2025-09-16 00:02:04+00:00,Bisikan Budiman Sudjatmiko
2025-09-16 05:53:38+00:00,"saya cuma mau sampaikan, hati hati:"
2025-09-16 17:53:00+00:00,"terlalu jahat ma orang baik, terlalu baik ma orang jahat"
2025-09-15 22:00:04+00:00,You're repeating another Jokowi
2025-09-15 12:24:54+00:00,@efekrumahnenek  sekarang siapa intelnya
2025-09-14 05:42:49+00:00,Ga kreatif ke Nepal
2025-09-15 11:07:11+00:00,@BocorAlusPol  serius pake cover doi yang lagi deact akun? Kasian juga keknya malah bikin diserang wkwk
2025-09-15 18:17:35+00:00,"tuntutan apa wishlist? g ngakar. . pertanyaan besarny itu ""kenapa yg duduk di kursi dpr dn pemerintahan orang2 g kompeten?"" triaspolitika tp elit partai jd eksekutif, legislator kader partainya, jongos disuruh ngawasin tuannya"
2025-09-15 22:12:13+00:00,Tidak perlu penokohan tempo
2025-09-16 05:18:18+00:00,Lagian tuntutan udh kyk visi misi
2025-09-16 04:09:12+00:00,"Tolong tempo, lo blunder"
2025-09-15 13:52:57+00:00,aku harap ni orang dipanggil buat bicara ke publik
2025-09-15 23:16:02+00:00,"Semangatin aja itu orang-orang yang nulis, tapi ku gak ikutan"
2025-09-16 17:50:48+00:00,"Siapa yg punya aspirasi dan turun ke jalan, siapa yg tampil sebagai pemenang di akhir karena membajak aspirasi"
2025-09-15 07:17:28+00:00,Itu ilustrasi gambar siapa dah? Budhe Sri Mulyani?
2025-09-15 12:23:57+00:00,"Usulan tak guna, tak menyentuh sumber masalah, tak ada usulan utama Pemakzulan Gibran dan Adili Jokowi"
2025-09-15 12:19:21+00:00,woi tempo kenapa dia yg di up ?
2025-09-16 07:56:19+00:00,oportunis lahir pada semua generasi.
2025-09-15 08:54:28+00:00,siapa ini orang gw gk tau rekam jejaknya
2025-09-15 07:16:10+00:00,Jangka panjang rawan hilang menguap dan terlupakan
2025-09-16 16:33:32+00:00,@grok  kenapa  @afutami  tutup account?
2025-09-16 06:26:52+00:00,Itu siapa dah?
2025-09-17 04:16:19+00:00,"HAH, GIMANA SIHHHH BERITA APA INI ANJIR  pada ga suka di bagian mananya dah sumpah isinya buzzer semua ini mah"
2025-09-16 09:57:36+00:00,"Kolektife dikuasai pemengaruh, yang rentan diboncengi NICA"
2025-09-17 13:06:36+00:00,"lu pada kenapa sih anjg malah ngeributin ga jelas, tolol. udah bagus dirangkumin tuntutan yg ga hanya berfokus pada dpr."
2025-09-15 12:18:01+00:00,Pentingkah mukanya sendiri dipampangkan begini?HLH
2025-09-15 15:06:45+00:00,"Ybs dikritik aja langsung tutup akun, sekarang muncul di media mengklaim mewakili keresahan mayoritas publik. Yang bertaruh nyawa siapa, yang dapat sorot panggung siapa...  x.com/tempodotco/sta…"
2025-09-16 03:15:48+00:00,Malas banget lu tempo
2025-09-16 14:56:59+00:00,"gausa gini2an, langsung Nepal gas"
2025-09-16 05:44:12+00:00,Idih najis
2025-09-15 23:34:33+00:00,Tempo bathi geden iki
2025-09-15 12:08:46+00:00,dia siapa si?
2025-09-15 11:17:25+00:00,Not cool man not cool
2025-09-16 02:58:36+00:00,wtf tempo?
2025-09-15 16:33:24+00:00,Dia siapa?
2025-09-15 11:59:10+00:00,Asli bego dah
2025-09-15 12:31:31+00:00,Calon Komisaris…
2025-09-16 09:16:59+00:00,"Nih orang dari masih kuliah udah super pretensius, gak heran sekarang jadi begini"
2025-09-16 01:41:35+00:00,"@_haye_  kalau lihat arah diskusinya, gerakan lurus terorganisir emang kudu tahan banting ya. Ego sektoral kenceng lagi ngalahin nafas gerakan awal. Kalau dah gini ya kudu balikin lagi ke nafas kolektif  berkobar2 marah gpp, duduk lagi sbntr, kita pikir lg kita mau benahi gmn …"
2025-09-16 06:32:30+00:00,tuntutan my ass....
2025-09-17 03:46:54+00:00,"Tempo, lu kenapa sih? Harusnya ingetin Afu, jangan kayak gini. Coba lah....."
2025-09-16 08:52:03+00:00,I see
2025-09-15 11:58:07+00:00,hoamszz
2025-09-15 16:49:36+00:00,@grok  tolong jelaskan kronogis kenapa penggagas 17+8 disebut-sebut anti kritik?
2025-09-16 08:41:12+00:00,Lah kan kemaren di Omon-Omon lu ngekritik gerakan rimpang kek gini?! Tempo downfall = udah habis ini mah mati bareng aja Indo
2025-09-16 09:08:52+00:00,"Bubar bubar, malah pada gelut satu sama lain wkwkwk. Pemerenta, win  Manchester United, lose"
2025-09-15 08:55:42+00:00,https:// x.com/myopicjudgemen t/status/1967427702492934533?t=T8eZE_fqXyXRTWN82qV59A&s=19 …
2025-09-16 02:56:59+00:00,Saha bangsat?
2025-09-14 01:40:33+00:00,Beda level ma Nepal
2025-09-16 01:44:41+00:00,"JAHAT ORNG indonesia , ga ada yang mau sadar di jajah negara sendiri .."
2025-09-15 23:35:08+00:00,Tempo mending tobat deh.
2025-09-15 15:14:11+00:00,"Dan terlalu panjang, sampe RUU PERAMPASAN ASET bakal di ketok di 2029 untuk melemahkan Oposisi Ehehe"
2025-09-16 17:27:01+00:00,wkwkwkwk
2025-09-15 15:02:54+00:00,Ingon2nane hama jokower peyot gunawan tenan po iki wwkkk
2025-09-16 10:22:51+00:00,"Ada yg mau mewakili, kenapa pada marah2 ya?"
2025-09-16 10:23:47+00:00,Why the FUCK is her face the cover??? Annoying narcissist
2025-09-16 12:02:28+00:00,Siapa yang minta dia untuk jadi perwakilan sih? Tolol tolol
2025-09-17 01:28:43+00:00,Antek asing  #resetIndonesia 17+8  Reformasi Polri Perampasan aset koruptor  Warga jaga warga
2025-09-16 00:47:55+00:00,udahlah bubar ajaa
2025-09-15 15:20:29+00:00,"emang udah kodratnya dijajah sama pejabat dah, sekalinya ada yg siap mewakili dengan segala macam tantangam dan ancaman malah dirujak sama masyarakat"
2025-09-15 14:42:59+00:00,Lagian Andhyta ini siapa dah? Sebenernya lebih suka denger suara Bapak bapak atau Ibu ibu yang kerja banting tulang menghadapi dunia drpd orang2 yang mengklaim aktivis menyuarakan rakyat kecil tp hapenya mahal mahal
2025-09-15 11:28:51+00:00,"@tempodotco   @BocorAlusPol   seperti mendukung Jokowi, wawancara tempo kali ini cuma pepesan kosong dan melihat sesuatu hanya dari influencer yang influenza. Ga ada manfaatnya buat gerakan rakyat, ini cuma bocor Alus buat penguasa bahwa betapa kroposonya para pengkritik mereka"
2025-09-16 06:32:36+00:00,Saya berharap ada tuntutan untuk makzulkan wapres anak haram konstitusi dan penjarakan pemalsu ijazah serta pemberantasan geng termul.Mungkin itu yg ditunggu seluruh Rakyat Indonesia.
2025-09-15 01:24:11+00:00,thx tempo
2025-09-18 04:15:50+00:00,"Influencer 17+8 kontol!  yang bully 17+8 jg kontol! Kontol klean semua!   Yang mati ya tetap mati,  yang miskin tetap miskin,   bahlil tetep tolol,  gibran tetep tolol!  Kontol klean semua!"
2025-09-15 00:07:00+00:00,"Tuntutan adalah Gerakan Jangka Panjang..?  Jangka pendeknya sudah gugur, deadline 1 tahunnya akan berhasil?  Penguasa selalu punya perangkat untuk ""mengurai"" suatu gerakan.  ingat, masih ada orang yang dinyatakan hilang & banyak kawan-kawan yang masih ditahan."
2025-09-15 09:18:47+00:00,"Sy percaya  @afutami  punya niat baik, hanya caranya perlu diperbaiki spy mengakar di akar rumput & diterima oleh semua pihak, bkn hanya berada di bubble-nya sendiri  Aktivis itu gak boleh elitis, tp perlu turun mendengar keluhan rakyat paling bawah, itulah pergerakan yg sebenarnya"
2025-09-14 11:58:04+00:00,Semakin najis saja. Tolol banget tidak ada yang protes. Berarti memang pada najis.
2025-09-14 23:27:26+00:00,Perbaikan pemerintah dimulai dari perbaikan partai politik  Pemerintah jadi buruk karena kita yang bersalah oleh pengabaian kita kepada partai politik
2025-09-15 02:33:41+00:00,"Warna Bisa Menipu, Sampai Demo 17+8 Jadi Alat Propaganda!  #WaspadaKodeWarna #HijauPinkMisterius #AksiAtauAgenda #JanganTerkecohSimbol #BongkarNarasiTersembunyi #fypviraltwitter  @tempodotco"
2025-09-16 08:28:01+00:00,"Tempo sebaiknya sudahi memfasilitasi NGO yang hanya percaya aksi damai dan membuat patron-patron ini. Hal ini hanya melenggangkan banyak pengaburan dan kebodohan. Percaya bahwa ini kegiatan kolektif dan harus mengakar, kemarahannya juga perlu dirawat"
2025-09-14 06:33:12+00:00,"17+8 Tidak ada hukum mati koruptor, tidak ada penangkapan Jokowi dan Luhut, kami sangat kecewa dengan apa yang di lakukan masyarakat dan mahasiswa indonesia yang munafik dan naif dengan apa yang telah terjadi selama 1 dekade sebelumnya !! #RUUHUKUMMATIKORUPTOR"
2025-09-15 23:17:12+00:00,ANGGOTA???? EMANGNYA SIAPA YANG NGEREKRUT DIA MASUK???
2025-09-15 14:05:03+00:00,Apasie
2025-09-15 12:07:52+00:00,"tuntutannya tanggung, cuma menyasar kulit masalah. sekalian lah bikin tuntutan 1 dulu tapi gede; hapus peran partai politik dalam proses demokrasi"
2025-09-16 23:01:30+00:00,"Wrong turn tempo, take a detour"
2025-09-16 07:14:35+00:00,Dan akhirnya cuma minta maaf soal buka bukaan aliran dana buzzer sama feri
2025-09-16 15:41:18+00:00,"YANG MERASA TUNTUTAN 17+8 ITU ADALAH ""SAMPAH"", COBA DONK BIKIN TUNTUTAN SERUPA, PENGEN LIAT GW, PENGEN LIAT APA BACOT KALIAN LEBIH GEDE DRPD OTAK MEREKA ?"
2025-09-17 06:44:55+00:00,inilah alasan lain mengapa ind*n bisa dijajah 350 tahun : terlalu jahat kepada orang baik dan terlalu baik kepada orang jahat.
2025-09-16 01:41:35+00:00,"@_haye_ kalau lihat arah diskusinya, gerakan lurus terorganisir emang kudu tahan banting ya. Ego sektoral kenceng lagi ngalahin nafas gerakan awal. Kalau dah gini ya kudu balikin lagi ke nafas kolektif  berkobar2 marah gpp, duduk lagi sbntr, kita pikir lg kita mau benahi gmn …"
2025-09-15 16:49:36+00:00,@grok tolong jelaskan kronogis kenapa penggagas 17+8 disebut-sebut anti kritik?
2025-09-15 08:55:42+00:00,https://x.com/myopicjudgement/status/1967427702492934533?t=T8eZE_fqXyXRTWN82qV59A&s=19…
2025-09-10 05:30:05+00:00,"Kakak OJOL ini ternyata lebih cerdas, lebih waras daripada influencer yang suka demo dengan tuntutan 17+8.. Keren KK"
2025-09-10 11:46:48+00:00,yg paling aneh poin 6 TNI.  kalau TNI tidak ada sama sekali selama masa ramai itu maka jauh lebih banyak korban manusia dan fasilitas terjadi. untung ada tni sebagai penengah.  krn baik massa dan polisi sama2 ada oknum provokatornya.  siapa yg mengusulkan poin ini?
2025-09-10 11:56:07+00:00,"Masuknya TNI kan emang mengamankan negara dari kekacauan bukan untuk mengambil alih kekuasaan, bisa kayak Nepal kalo kekacauan dibiarkan"
2025-09-10 12:47:48+00:00,"Ojol apa ojol nih  Pendapatan berapa bang sehari,sebulan sm kata ojol yg habis ketemu wapres"
2025-09-10 12:51:41+00:00,Gaya orang sangek nih yg ngomongnya gini
2025-09-10 13:11:21+00:00,"Ni ojol yg ngarep diundang gibran. Soalnya satu frekuensi, sama2 bego."
2025-09-10 18:45:29+00:00,"Tolol ini ojok, mana poin2 yg arahnya memberontak?"
2025-09-10 12:07:43+00:00,Eh kontol tunjukin muka lo buzzer anjinh
2025-09-10 09:58:39+00:00,Rata2 gank termul kok tolol ya
2025-09-10 10:51:47+00:00,"Betul...ngeriiiii... Orang2 pintar dinegri ini yg jelas bekerja buat rakyat dihabisi seperti pak Jokowi dll..dan sekarang menyasar ke Gibran...fitnah mereka pembenci itu sekarang lebih keji Krn didukung tekhnology AI..  yg bisa menirukan persis dari wajah,suara dan gerakan"
2025-09-10 22:40:12+00:00,Jaketnya masi baru
2025-09-10 20:48:41+00:00,Kenapa ga dia yg dilindas rantis kemaren?
2025-09-10 10:04:29+00:00,TERMUL TOLOOOLLLL.
2025-09-11 01:41:34+00:00,OJOL CERDAS.
2025-09-10 12:52:59+00:00,Ojol jaketnya kinclong amat..
2025-09-10 14:32:49+00:00,"Pantes negara miskin terus..  sumber daya alam kaya, dikeruk tapi warlok g dapat apa2.."
2025-09-10 17:50:09+00:00,Apasih kontol
2025-09-10 16:02:19+00:00,Bacot lo..ngapain segala pake baju ojol..jgn bawa bawa atribut ojol
2025-09-10 15:22:07+00:00,"Salut buat Abang Ojol ini. Wawasan yg luar biasa, pola pikir dan nalarnya gw acungin Jempol. Orang seperti inilah yg pantas duduk di Kabinet Indonesia Maju"
2025-09-10 13:47:53+00:00,Jerrrrr kerja kerja... Besok masih mau makan kan???
2025-09-11 08:58:56+00:00,pantas ngojol terus
2025-09-11 13:38:29+00:00,Preet TERMUL
